timestamp,mcp
2024-11-11 00:00:00+03:00,2603.63
2024-11-11 01:00:00+03:00,2631.98
2024-11-11 02:00:00+03:00,1649.99
2024-11-11 03:00:00+03:00,1894.99
2024-11-11 04:00:00+03:00,1999.99
2024-11-11 05:00:00+03:00,2396.0
2024-11-11 06:00:00+03:00,1649.99
2024-11-11 07:00:00+03:00,1649.99
2024-11-11 08:00:00+03:00,3000.0
2024-11-11 09:00:00+03:00,3000.0
2024-11-11 10:00:00+03:00,2912.29
2024-11-11 11:00:00+03:00,2900.0
2024-11-11 12:00:00+03:00,2245.0
2024-11-11 13:00:00+03:00,2569.9
2024-11-11 14:00:00+03:00,2950.01
2024-11-11 15:00:00+03:00,3000.0
2024-11-11 16:00:00+03:00,3000.0
2024-11-11 17:00:00+03:00,3000.0
2024-11-11 18:00:00+03:00,3000.0
2024-11-11 19:00:00+03:00,3000.0
2024-11-11 20:00:00+03:00,3000.0
2024-11-11 21:00:00+03:00,3000.0
2024-11-11 22:00:00+03:00,2783.64
2024-11-11 23:00:00+03:00,2441.77
2024-11-12 00:00:00+03:00,2500.01
2024-11-12 01:00:00+03:00,2224.99
2024-11-12 02:00:00+03:00,2277.78
2024-11-12 03:00:00+03:00,2210.11
2024-11-12 04:00:00+03:00,1999.99
2024-11-12 05:00:00+03:00,1650.0
2024-11-12 06:00:00+03:00,2868.04
2024-11-12 07:00:00+03:00,2987.82
2024-11-12 08:00:00+03:00,3000.0
2024-11-12 09:00:00+03:00,2990.0
2024-11-12 10:00:00+03:00,2500.01
2024-11-12 11:00:00+03:00,2490.0
2024-11-12 12:00:00+03:00,1649.99
2024-11-12 13:00:00+03:00,2129.98
2024-11-12 14:00:00+03:00,2184.81
2024-11-12 15:00:00+03:00,2750.0
2024-11-12 16:00:00+03:00,3000.0
2024-11-12 17:00:00+03:00,3000.0
2024-11-12 18:00:00+03:00,3000.0
2024-11-12 19:00:00+03:00,3000.0
2024-11-12 20:00:00+03:00,3000.0
2024-11-12 21:00:00+03:00,2990.0
2024-11-12 22:00:00+03:00,2677.78
2024-11-12 23:00:00+03:00,2338.91
2024-11-13 00:00:00+03:00,2159.99
2024-11-13 01:00:00+03:00,2200.0
2024-11-13 02:00:00+03:00,2200.0
2024-11-13 03:00:00+03:00,1999.99
2024-11-13 04:00:00+03:00,2347.77
2024-11-13 05:00:00+03:00,2498.0
2024-11-13 06:00:00+03:00,2477.78
2024-11-13 07:00:00+03:00,2799.99
2024-11-13 08:00:00+03:00,3000.0
2024-11-13 09:00:00+03:00,2990.0
2024-11-13 10:00:00+03:00,2802.99
2024-11-13 11:00:00+03:00,2498.0
2024-11-13 12:00:00+03:00,2065.0
2024-11-13 13:00:00+03:00,2347.78
2024-11-13 14:00:00+03:00,2898.01
2024-11-13 15:00:00+03:00,2989.99
2024-11-13 16:00:00+03:00,3000.0
2024-11-13 17:00:00+03:00,3000.0
2024-11-13 18:00:00+03:00,3000.0
2024-11-13 19:00:00+03:00,3000.0
2024-11-13 20:00:00+03:00,3000.0
2024-11-13 21:00:00+03:00,2990.0
2024-11-13 22:00:00+03:00,2675.0
2024-11-13 23:00:00+03:00,2400.0
2024-11-14 00:00:00+03:00,2447.77
2024-11-14 01:00:00+03:00,2225.0
2024-11-14 02:00:00+03:00,2245.0
2024-11-14 03:00:00+03:00,2127.0
2024-11-14 04:00:00+03:00,2245.0
2024-11-14 05:00:00+03:00,2344.78
2024-11-14 06:00:00+03:00,2499.99
2024-11-14 07:00:00+03:00,2647.78
2024-11-14 08:00:00+03:00,3000.0
2024-11-14 09:00:00+03:00,3000.0
2024-11-14 10:00:00+03:00,2898.01
2024-11-14 11:00:00+03:00,2898.0
2024-11-14 12:00:00+03:00,2250.0
2024-11-14 13:00:00+03:00,2450.01
2024-11-14 14:00:00+03:00,2899.99
2024-11-14 15:00:00+03:00,2990.0
2024-11-14 16:00:00+03:00,3000.0
2024-11-14 17:00:00+03:00,3000.0
2024-11-14 18:00:00+03:00,3000.0
2024-11-14 19:00:00+03:00,3000.0
2024-11-14 20:00:00+03:00,3000.0
2024-11-14 21:00:00+03:00,2989.99
2024-11-14 22:00:00+03:00,2749.81
2024-11-14 23:00:00+03:00,2550.0
